URN,QCSI,QDataInput,QSamPrep,Qextraction,Qvalidation
317,3559.98442,171.91312,1096.72626,1589.33923,1122.77529
318,3261.82103,171.28168,1111.30685,1564.98504,1124.7002
319,3212.58548,143.60326,1135.66104,1536.17033,1126.22478
320,3233.56133,109.23334,1180.51402,1503.58147,1128.84901
321,3225.98271,110.42232,1164.47575,1520.13206,1127.25378
322,3246.8891,83.93023,1197.06461,1478.5462,1130.31579
323,3234.34236,46.87864,1222.09988,1456.72119,1131.69006
324,3198.95936,39.79142,1243.92489,410.36106,1133.34007
325,3024.49814,13.75711,2290.28502,389.61885,1135.25769
326,3035.87011,398.36594,902.14725,346.546,1139.08333
327,2696.47538,400.85702,882.09005,369.56165,1137.19556
328,2663.07437,374.66693,925.1629,325.01913,1140.40262
329,3288.88469,345.31517,946.68977,308.33256,1141.73315
330,3190.79867,338.94027,963.37634,297.78525,1142.856
331,3100.24819,320.39544,973.92365,277.40355,1144.21137
332,2986.74146,281.12898,994.30535,249.09775,1145.28435
333,2968.10611,278.8056,1022.61115,221.91747,1146.97252
334,2837.6383,266.46719,1049.79143,211.62914,1148.38324
335,2857.35337,215.16331,1076.91566,168.53746,1151.22731
336,2850.88544,219.62816,1060.07976,194.79324,1149.44497
337,2814.62383,208.83058,1103.17144,138.54432,1152.56422
338,2859.44609,159.43397,1133.16458,115.53707,1153.79749
339,2857.70075,154.00342,1156.17183,95.13431,1155.21292
340,2816.19762,151.25287,1176.57459,77.68668,1156.70213
341,2831.00681,92.54139,1194.02222,57.46621,1157.93181
342,2694.87274,89.87051,1214.24269,34.57947,1159.75653
343,2691.08986,85.46886,1237.12943,24.05352,1161.44162
344,2666.3759,35.44155,1247.65538,7.30251,1163.21512
345,2668.3275,23.80494,1264.40639,2931.83505,0
346,2395.11436,19.8849,5179.87385,2902.59825,1.78714
347,2400.01179,397.33921,3751.1644,2887.42182,3.5507
348,2204.21503,372.97687,3782.46604,2860.24368,6.76688
349,2087.62161,382.888,3766.34083,2871.29661,4.8133
350,3033.75189,334.0763,3793.51897,2848.97959,7.96271
351,3026.42343,319.48529,3804.78306,2830.53071,9.59535
352,2896.55552,311.10206,3823.23194,2809.17942,11.23669
353,2913.03484,276.50732,3844.58323,2791.75904,12.7773
354,2881.0986,258.85293,3862.00361,2767.88276,14.00646
355,2757.32321,245.33344,3885.87989,2744.5488,15.45598
356,2785.40006,216.35414,3909.21385,2719.90559,17.22873
357,2796.43515,196.73939,3933.85706,2702.96234,18.64093
358,2781.33312,184.98634,3950.80031,2682.50309,20.1981
359,2548.68903,150.26642,3971.25956,2663.14935,21.62554
360,2557.5137,138.06331,3990.6133,2641.57406,23.41373
361,2435.67098,113.14749,4012.18859,2619.2616,24.71483
362,2376.20171,80.31457,4034.50105,2605.69732,26.68818
363,2243.71703,80.05124,4048.06533,2575.94927,28.62023
364,2145.35342,51.73409,4077.81338,2550.18567,29.877
365,2162.04126,29.3207,4103.57698,2526.4923,31.38474
366,2157.8234,19.21007,4127.27035,1487.0493,32.3887
367,2169.82922,405.54002,867.77252,1469.15032,33.8541
368,2129.32463,389.61322,885.6715,1449.41152,35.64732
369,1976.38343,378.18497,905.4103,1432.57171,37.02426
370,5886.16115,344.77379,922.25011,1405.20431,38.50346
371,5858.07866,324.97796,967.2988,1362.07523,41.67672
372,5717.11559,326.32169,949.61751,1387.52302,39.9632
373,5727.50736,286.10115,992.74659,1332.72263,42.69061
374,5712.24291,272.70205,1022.09919,1313.04999,43.99147
375,5575.34172,262.25687,1041.77183,1295.62404,45.04387
376,5573.86041,224.28752,1059.19778,1272.80214,46.64182
377,5566.28699,204.11459,1109.28979,1232.07215,50.06848
378,5322.34597,204.12655,1082.01968,1245.53203,48.17814
379,5331.37801,156.25742,1122.74967,1219.88753,51.33289
380,5332.91066,144.00551,1164.78314,1160.86025,54.61299
381,5264.85363,150.50892,1134.93429,1190.03868,53.20334
382,5257.03649,98.2901,1193.96157,1140.96346,55.66499
383,5132.28997,85.10752,1213.85836,1116.98118,56.9189
384,5071.68518,80.26426,1237.84064,1094.39499,58.67322
385,5013.21037,40.61357,1260.42683,54.36651,60.33519
386,4955.8121,22.85072,2322.50863,17.56747,63.13787
387,4929.41159,22.96907,2300.45531,32.31319,61.57091
388,4800.29433,408.06857,874.46405,0,1522.85452
389,4256.30669,382.54647,893.01773,3217.16617,1080
390,4129.64758,380.73847,914.86535,3199.9562,1081.02591
391,5180.12682,343.03311,932.07532,3178.36089,1082.45924
392,5189.8732,323.82943,953.67063,3166.41893,1084.01632
393,5130.45047,323.78775,965.61259,3142.88547,1085.75154
